GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT
0022000008,1610612747,Lakers,LAL,Los Angeles,240:00,17.78,24,48,70,425,5,3,295,33,15,23,0.652,36,68,0.529,0.56,16,23,0.696
0022000007,1610612751,Nets,BKN,Brooklyn,240:00,17.07,20,61,78,349,0,5,230,21,21,34,0.618,20,42,0.476,0.539,17,33,0.515
0022000007,1610612738,Celtics,BOS,Boston,240:00,17.92,45,43,85,449,2,1,313,23,18,47,0.383,19,51,0.373,0.378,18,21,0.857
0022000005,1610612740,Pelicans,NOP,New Orleans,240:00,18.42,27,49,75,439,2,8,317,18,18,31,0.581,13,47,0.277,0.397,17,24,0.708
0022000005,1610612748,Heat,MIA,Miami,240:00,18.22,15,57,70,411,4,5,298,29,17,26,0.654,21,49,0.429,0.507,16,22,0.727
0022000006,1610612744,Warriors,GSW,Golden State,240:00,19.4,21,55,74,453,1,3,319,14,15,39,0.385,19,60,0.317,0.343,19,28,0.679
0022000006,1610612749,Bucks,MIL,Milwaukee,240:00,19.1,20,77,92,411,0,3,278,25,16,33,0.485,34,58,0.586,0.556,14,24,0.583
0022000009,1610612746,Clippers,LAC,LA,240:00,16.94,20,48,65,435,4,3,320,32,15,23,0.652,26,51,0.51,0.554,14,25,0.56
0022000009,1610612743,Nuggets,DEN,Denver,240:00,17.42,24,42,65,410,3,1,289,25,16,29,0.552,21,52,0.404,0.457,8,9,0.889
0022000027,1610612761,Raptors,TOR,Toronto,240:00,18.08,19,63,80,398,1,4,261,32,24,50,0.48,20,46,0.435,0.458,18,28,0.643
0022000027,1610612759,Spurs,SAS,San Antonio,240:00,18.4,34,52,85,441,4,1,307,36,21,41,0.512,26,59,0.441,0.47,24,37,0.649
0022000026,1610612754,Pacers,IND,Indiana,240:00,19.35,21,73,93,404,5,5,277,34,25,45,0.556,27,48,0.563,0.559,14,29,0.483
0022000026,1610612741,Bulls,CHI,Chicago,240:00,19.32,31,47,75,434,1,2,299,23,15,41,0.366,19,50,0.38,0.374,27,38,0.711
0022000025,1610612755,76ers,PHI,Philadelphia,240:00,17.7,29,62,90,433,3,4,309,20,17,33,0.515,24,55,0.436,0.466,15,29,0.517
0022000025,1610612752,Knicks,NYK,New York,240:00,17.95,31,57,86,407,2,4,288,19,16,35,0.457,16,48,0.333,0.386,17,28,0.607
0022000023,1610612739,Cavaliers,CLE,Cleveland,290:00,21.56,19,72,87,505,4,6,361,29,24,52,0.462,24,47,0.511,0.485,15,29,0.517
0022000023,1610612765,Pistons,DET,Detroit,290:00,21.88,41,72,105,464,5,3,314,24,13,33,0.394,27,65,0.415,0.408,24,37,0.649
0022000029,1610612745,Rockets,HOU,Houston,265:00,18.49,30,63,89,425,5,1,295,27,23,41,0.561,22,47,0.468,0.517,17,28,0.607
0022000029,1610612757,Trail Blazers,POR,Portland,265:00,18.91,31,53,80,430,8,1,292,27,17,41,0.415,30,61,0.492,0.461,27,37,0.73
0022000028,1610612750,Timberwolves,MIN,Minnesota,240:00,17.77,27,58,83,423,4,2,295,21,16,39,0.41,29,62,0.468,0.446,20,33,0.606
0022000028,1610612762,Jazz,UTA,Utah,240:00,18.01,46,71,114,412,3,2,273,15,19,45,0.422,17,49,0.347,0.383,17,32,0.531
0022000030,1610612756,Suns,PHX,Phoenix,240:00,18.14,31,61,87,450,1,2,322,25,10,26,0.385,31,71,0.437,0.418,19,34,0.559
0022000030,1610612758,Kings,SAC,Sacramento,240:00,18.38,30,68,97,394,2,4,267,20,19,44,0.432,20,42,0.476,0.453,14,24,0.583
0022000022,1610612760,Thunder,OKC,Oklahoma City,240:00,18.09,30,58,82,476,3,3,340,25,14,27,0.519,26,61,0.426,0.455,20,38,0.526
0022000022,1610612766,Hornets,CHA,Charlotte,240:00,19.01,32,70,95,396,2,5,271,27,17,44,0.386,20,48,0.417,0.398,18,30,0.6
0022000024,1610612753,Magic,ORL,Orlando,240:00,19.43,31,61,85,434,5,5,292,25,22,36,0.611,26,59,0.441,0.505,22,29,0.759
0022000024,1610612764,Wizards,WAS,Washington,240:00,19.39,20,57,73,407,3,3,281,28,17,30,0.567,29,65,0.446,0.484,14,19,0.737
0022000021,1610612737,Hawks,ATL,Atlanta,240:00,18.26,30,75,102,401,4,3,274,23,12,32,0.375,26,57,0.456,0.427,9,13,0.692
0022000021,1610612763,Grizzlies,MEM,Memphis,240:00,18.52,22,55,76,441,1,3,313,20,12,29,0.414,25,64,0.391,0.398,15,25,0.6
0022000040,1610612750,Timberwolves,MIN,Minnesota,240:00,18.36,35,44,79,466,3,2,327,24,21,48,0.438,17,55,0.309,0.369,26,34,0.765
0022000040,1610612747,Lakers,LAL,Los Angeles,240:00,17.83,13,78,89,423,7,2,299,32,20,31,0.645,30,59,0.508,0.556,22,39,0.564
0022000038,1610612744,Warriors,GSW,Golden State,240:00,19.47,19,44,62,437,1,4,302,25,15,40,0.375,27,64,0.422,0.404,15,20,0.75
0022000038,1610612741,Bulls,CHI,Chicago,240:00,19.7,24,65,88,426,2,6,289,27,17,34,0.5,27,52,0.519,0.512,13,33,0.394
0022000036,1610612749,Bucks,MIL,Milwaukee,240:00,18.48,27,55,76,395,1,2,267,24,18,30,0.6,23,65,0.354,0.432,13,20,0.65
0022000036,1610612752,Knicks,NYK,New York,240:00,18.63,19,64,83,426,0,4,300,27,12,28,0.429,34,57,0.596,0.541,24,31,0.774
0022000031,1610612742,Mavericks,DAL,Dallas,240:00,17.84,16,58,74,368,4,4,254,25,8,19,0.421,35,68,0.515,0.494,9,14,0.643
0022000031,1610612746,Clippers,LAC,LA,240:00,17.67,14,53,65,417,1,5,308,13,16,29,0.552,10,47,0.213,0.342,16,21,0.762
0022000035,1610612755,76ers,PHI,Philadelphia,240:00,17.85,23,42,63,444,2,2,321,24,10,25,0.4,23,54,0.426,0.418,24,35,0.686
0022000035,1610612739,Cavaliers,CLE,Cleveland,240:00,17.75,20,55,73,406,5,1,285,31,24,46,0.522,24,45,0.533,0.527,17,27,0.63
0022000037,1610612738,Celtics,BOS,Boston,240:00,17.96,26,49,73,395,3,1,266,21,15,34,0.441,25,45,0.556,0.506,26,36,0.722
0022000037,1610612754,Pacers,IND,Indiana,240:00,18.13,18,46,61,421,4,3,302,23,21,39,0.538,24,49,0.49,0.511,16,27,0.593
0022000039,1610612756,Suns,PHX,Phoenix,240:00,17.82,19,49,65,447,5,1,329,34,13,24,0.542,33,69,0.478,0.489,15,23,0.652
0022000039,1610612758,Kings,SAC,Sacramento,240:00,17.78,11,46,56,377,3,2,266,21,16,37,0.432,19,38,0.5,0.474,17,25,0.68
0022000032,1610612751,Nets,BKN,Brooklyn,240:00,17.33,24,55,74,425,5,2,305,23,9,17,0.529,26,65,0.4,0.427,21,28,0.75
0022000032,1610612766,Hornets,CHA,Charlotte,240:00,18.79,31,55,82,501,8,1,372,35,18,36,0.5,25,60,0.417,0.448,9,16,0.563
0022000033,1610612753,Magic,ORL,Orlando,240:00,18.19,25,55,79,347,4,4,222,19,18,42,0.429,19,43,0.442,0.435,25,37,0.676
0022000033,1610612764,Wizards,WAS,Washington,240:00,18.26,28,60,88,446,4,1,320,27,21,41,0.512,26,56,0.464,0.485,7,21,0.333
0022000034,1610612759,Spurs,SAS,San Antonio,240:00,18.15,19,76,92,416,4,0,295,26,17,34,0.5,21,55,0.382,0.427,20,34,0.588
